#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_a_coruna;A Coruña;A Coruña;A Coruña;;A Coruña;;;;;;;;;x
b_a_coruna_adj;A Coruñan;;A Coruñer;;;;;;;;;;;x
b_aabenraa;Aabenraa;Aabenraa;Aabenraa;;Aabenraa;;;;;;;;;x
b_aabenraa_adj;Aabenraan;;aabenrer;;;;;;;;;;;x
b_aabenraa_2;Aabenraa;Aabenraa;Aabenraa;;Aabenraa;;;;;;;;;x
b_aabenraa_2_adj;Aabenraan;;aabenrer;;;;;;;;;;;x
b_aabenraa_3;Aabenraa;Aabenraa;Aabenraa;;Aabenraa;;;;;;;;;x
b_aabenraa_3_adj;Aabenraan;;aabenrer;;;;;;;;;;;x
b_aabenraa_4;Aabenraa;Aabenraa;Aabenraa;;Aabenraa;;;;;;;;;x
b_aabenraa_4_adj;Aabenraan;;aabenrer;;;;;;;;;;;x
b_aabenraa_5;Aabenraa;Aabenraa;Aabenraa;;Aabenraa;;;;;;;;;x
b_aabenraa_5_adj;Aabenraan;;aabenrer;;;;;;;;;;;x
b_aachen;Aachen;Aachen;Aachen;;Aachen;;;;;;;;;x
b_aachen_adj;Aachenian;;aachener;;;;;;;;;;;x
b_aachen_2;Aachen;Aachen;Aachen;;Aachen;;;;;;;;;x
b_aachen_2_adj;Aachenian;;aachener;;;;;;;;;;;x
b_aachen_3;Aachen;Aachen;Aachen;;Aachen;;;;;;;;;x
b_aachen_3_adj;Aachenian;;aachener;;;;;;;;;;;x
b_aachen_4;Aachen;Aachen;Aachen;;Aachen;;;;;;;;;x
b_aachen_4_adj;Aachenian;;aachener;;;;;;;;;;;x
b_aachen_5;Aachen;Aachen;Aachen;;Aachen;;;;;;;;;x
b_aachen_5_adj;Aachenian;;aachener;;;;;;;;;;;x
b_aalborg;Aalborg;Aalborg;Aalborg;;Aalborg;;;;;;;;;x
b_aalborg_adj;Aalborgian;;aalborger;;;;;;;;;;;x
b_aalborg_2;Aalborg;Aalborg;Aalborg;;Aalborg;;;;;;;;;x
b_aalborg_2_adj;Aalborgian;;aalborger;;;;;;;;;;;x
b_aalborg_3;Aalborg;Aalborg;Aalborg;;Aalborg;;;;;;;;;x
b_aalborg_3_adj;Aalborgian;;aalborger;;;;;;;;;;;x
