#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
k_afghanistan;Afghanistan;Afghanistan;Afghanistan;;Afghanistan;;;;;;;;;x
k_afghanistan_adj;Afghanistanian;;afghanistaner;;;;;;;;;;;x
k_al_yaman;al-Yaman;al-Yaman;al-Yaman;;al-Yaman;;;;;;;;;x
k_al_yaman_adj;al-Yamanian;;al-yamaner;;;;;;;;;;;x
k_albania;Albania;Albania;Albania;;Albania;;;;;;;;;x
k_albania_adj;Albanian;;albaner;;;;;;;;;;;x
k_algeria;Algeria;Algeria;Algeria;;Algeria;;;;;;;;;x
k_algeria_adj;Algerian;;algerer;;;;;;;;;;;x
k_andalucia;Andalucía;Andalucía;Andalucía;;Andalucía;;;;;;;;;x
k_andalucia_adj;Andalucían;;andalucíer;;;;;;;;;;;x
k_aquitaine;Aquitaine;Aquitaine;Aquitaine;;Aquitaine;;;;;;;;;x
k_aquitaine_adj;Aquitainean;;aquitainer;;;;;;;;;;;x
k_armenia;Armenia;Armenia;Armenia;;Armenia;;;;;;;;;x
k_armenia_adj;Armenian;;armener;;;;;;;;;;;x
k_austria;Austria;Austria;Austria;;Austria;;;;;;;;;x
k_austria_adj;Austrian;;austrer;;;;;;;;;;;x
k_azerbaijan;Azerbaijan;Azerbaijan;Azerbaijan;;Azerbaijan;;;;;;;;;x
k_azerbaijan_adj;Azerbaijanian;;azerbaijaner;;;;;;;;;;;x
k_bangladesh;Bangladesh;Bangladesh;Bangladesh;;Bangladesh;;;;;;;;;x
k_bangladesh_adj;Bangladeshian;;bangladesher;;;;;;;;;;;x
k_bayern;Bayern;Bayern;Bayern;;Bayern;;;;;;;;;x
k_bayern_adj;Bayernian;;bayerner;;;;;;;;;;;x
k_belarus;Belarus;Belarus;Belarus;;Belarus;;;;;;;;;x
k_belarus_adj;Belarusian;;belaruser;;;;;;;;;;;x
k_belgium;Belgium;Belgium;Belgium;;Belgium;;;;;;;;;x
k_belgium_adj;Belgiumian;;belgiumer;;;;;;;;;;;x
k_benin;Benin;Benin;Benin;;Benin;;;;;;;;;x
k_benin_adj;Beninian;;beniner;;;;;;;;;;;x
k_bhutan;Bhutan;Bhutan;Bhutan;;Bhutan;;;;;;;;;x
k_bhutan_adj;Bhutanian;;bhutaner;;;;;;;;;;;x
k_bosna_i_hercegovina;Bosna i Hercegovina;Bosna i Hercegovina;Bosna i Hercegovina;;Bosna i Hercegovina;;;;;;;;;x
k_bosna_i_hercegovina_adj;Bosna i Hercegovinan;;Bosna i Hercegoviner;;;;;;;;;;;x
k_bourgogne;Bourgogne;Bourgogne;Bourgogne;;Bourgogne;;;;;;;;;x
k_bourgogne_adj;Bourgognean;;bourgogner;;;;;;;;;;;x
k_brittany;Brittany;Brittany;Brittany;;Brittany;;;;;;;;;x
k_brittany_adj;Brittanian;;brittaner;;;;;;;;;;;x
k_bulgaria;Bulgaria;Bulgaria;Bulgaria;;Bulgaria;;;;;;;;;x
k_bulgaria_adj;Bulgarian;;bulgarer;;;;;;;;;;;x
k_burkina_faso;Burkina Faso;Burkina Faso;Burkina Faso;;Burkina Faso;;;;;;;;;x
k_burkina_faso_adj;Burkina Fasian;;Burkina Faser;;;;;;;;;;;x
k_cameroon;Cameroon;Cameroon;Cameroon;;Cameroon;;;;;;;;;x
k_cameroon_adj;Cameroonian;;camerooner;;;;;;;;;;;x
k_cape_verde;Cape Verde;Cape Verde;Cape Verde;;Cape Verde;;;;;;;;;x
k_cape_verde_adj;Cape Verdean;;Cape Verder;;;;;;;;;;;x
k_car;CAR;CAR;CAR;;CAR;;;;;;;;;x
k_car_adj;CARian;;carer;;;;;;;;;;;x
k_castilla_y_leon;Castilla y León;Castilla y León;Castilla y León;;Castilla y León;;;;;;;;;x
k_castilla_y_leon_adj;Castilla y Leónian;;Castilla y Leóner;;;;;;;;;;;x
k_catalunya;Catalunya;Catalunya;Catalunya;;Catalunya;;;;;;;;;x
k_catalunya_adj;Catalunyan;;cataluner;;;;;;;;;;;x
k_cesko;Cesko;Cesko;Cesko;;Cesko;;;;;;;;;x
k_cesko_adj;Ceskian;;cesker;;;;;;;;;;;x
