#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
c_a_coruna;A Coruña;A Coruña;A Coruña;;A Coruña;;;;;;;;;x
c_a_coruna_adj;A Coruñan;;A Coruñer;;;;;;;;;;;x
c_aabenraa;Aabenraa;Aabenraa;Aabenraa;;Aabenraa;;;;;;;;;x
c_aabenraa_adj;Aabenraan;;aabenrer;;;;;;;;;;;x
c_aachen;Aachen;Aachen;Aachen;;Aachen;;;;;;;;;x
c_aachen_adj;Aachenian;;aachener;;;;;;;;;;;x
c_aalborg;Aalborg;Aalborg;Aalborg;;Aalborg;;;;;;;;;x
c_aalborg_adj;Aalborgian;;aalborger;;;;;;;;;;;x
c_aarhus;Aarhus;Aarhus;Aarhus;;Aarhus;;;;;;;;;x
c_aarhus_adj;Aarhusian;;aarhuser;;;;;;;;;;;x
c_abadan;Abadan;Abadan;Abadan;;Abadan;;;;;;;;;x
c_abadan_adj;Abadanian;;abadaner;;;;;;;;;;;x
c_abeche;Abeche;Abeche;Abeche;;Abeche;;;;;;;;;x
c_abeche_adj;Abechean;;abecher;;;;;;;;;;;x
c_abeokuta;Abeokuta;Abeokuta;Abeokuta;;Abeokuta;;;;;;;;;x
c_abeokuta_adj;Abeokutan;;abeokuter;;;;;;;;;;;x
c_aberdeen;Aberdeen;Aberdeen;Aberdeen;;Aberdeen;;;;;;;;;x
c_aberdeen_adj;Aberdeenian;;aberdeener;;;;;;;;;;;x
c_abha;Abha;Abha;Abha;;Abha;;;;;;;;;x
c_abha_adj;Abhan;;abher;;;;;;;;;;;x
c_abkhazia;Abkhazia;Abkhazia;Abkhazia;;Abkhazia;;;;;;;;;x
c_abkhazia_adj;Abkhazian;;abkhazer;;;;;;;;;;;x
c_abomey;Abomey;Abomey;Abomey;;Abomey;;;;;;;;;x
c_abomey_adj;Abomeian;;abomeer;;;;;;;;;;;x
c_abruzzo;Abruzzo;Abruzzo;Abruzzo;;Abruzzo;;;;;;;;;x
c_abruzzo_adj;Abruzzian;;abruzzer;;;;;;;;;;;x
c_abu_dhabi;Abu Dhabi;Abu Dhabi;Abu Dhabi;;Abu Dhabi;;;;;;;;;x
c_abu_dhabi_adj;Abu Dhabian;;Abu Dhaber;;;;;;;;;;;x
c_abuja;Abuja;Abuja;Abuja;;Abuja;;;;;;;;;x
c_abuja_adj;Abujan;;abujer;;;;;;;;;;;x
c_accra;Accra;Accra;Accra;;Accra;;;;;;;;;x
c_accra_adj;Accran;;accrer;;;;;;;;;;;x
c_adana;Adana;Adana;Adana;;Adana;;;;;;;;;x
c_adana_adj;Adanan;;adaner;;;;;;;;;;;x
c_aden;Aden;Aden;Aden;;Aden;;;;;;;;;x
c_aden_adj;Adenian;;adener;;;;;;;;;;;x
c_adjara_guria;Adjara-Guria;Adjara-Guria;Adjara-Guria;;Adjara-Guria;;;;;;;;;x
c_adjara_guria_adj;Adjara-Gurian;;adjara-gurer;;;;;;;;;;;x
c_adygei;Adygei;Adygei;Adygei;;Adygei;;;;;;;;;x
c_adygei_adj;Adygian;;adyger;;;;;;;;;;;x
c_afyon;Afyon;Afyon;Afyon;;Afyon;;;;;;;;;x
c_afyon_adj;Afyonian;;afyoner;;;;;;;;;;;x
c_agades;Agades;Agades;Agades;;Agades;;;;;;;;;x
c_agades_adj;Agadesian;;agadeser;;;;;;;;;;;x
c_agadir;Agadir;Agadir;Agadir;;Agadir;;;;;;;;;x
c_agadir_adj;Agadirian;;agadirer;;;;;;;;;;;x
c_agartala;Agartala;Agartala;Agartala;;Agartala;;;;;;;;;x
c_agartala_adj;Agartalan;;agartaler;;;;;;;;;;;x
c_agdam;Agdam;Agdam;Agdam;;Agdam;;;;;;;;;x
c_agdam_adj;Agdamian;;agdamer;;;;;;;;;;;x
c_agra;Agra;Agra;Agra;;Agra;;;;;;;;;x
c_agra_adj;Agran;;agrer;;;;;;;;;;;x
c_ahal;Ahal;Ahal;Ahal;;Ahal;;;;;;;;;x
c_ahal_adj;Ahalian;;ahaler;;;;;;;;;;;x
c_ahmedabad;Ahmedabad;Ahmedabad;Ahmedabad;;Ahmedabad;;;;;;;;;x
c_ahmedabad_adj;Ahmedabadian;;ahmedabader;;;;;;;;;;;x
