#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
d_abruzzo;Abruzzo;Abruzzo;Abruzzo;;Abruzzo;;;;;;;;;x
d_abruzzo_adj;Abruzzian;;abruzzer;;;;;;;;;;;x
d_abu_dhabi;Abu Dhabi;Abu Dhabi;Abu Dhabi;;Abu Dhabi;;;;;;;;;x
d_abu_dhabi_adj;Abu Dhabian;;Abu Dhaber;;;;;;;;;;;x
d_adana;Adana;Adana;Adana;;Adana;;;;;;;;;x
d_adana_adj;Adanan;;adaner;;;;;;;;;;;x
d_aden;Aden;Aden;Aden;;Aden;;;;;;;;;x
d_aden_adj;Adenian;;adener;;;;;;;;;;;x
d_ahmedabad;Ahmedabad;Ahmedabad;Ahmedabad;;Ahmedabad;;;;;;;;;x
d_ahmedabad_adj;Ahmedabadian;;ahmedabader;;;;;;;;;;;x
d_al_basra;al-Basra;al-Basra;al-Basra;;al-Basra;;;;;;;;;x
d_al_basra_adj;al-Basran;;al-basrer;;;;;;;;;;;x
d_al_jazaer;al-Jaza’er;al-Jaza’er;al-Jaza’er;;al-Jaza’er;;;;;;;;;x
d_al_jazaer_adj;al-Jaza’erian;;al-jaza’erer;;;;;;;;;;;x
d_al_mawsil;al-Mawsil;al-Mawsil;al-Mawsil;;al-Mawsil;;;;;;;;;x
d_al_mawsil_adj;al-Mawsilian;;al-mawsiler;;;;;;;;;;;x
d_al_rif;Al Rif;Al Rif;Al Rif;;Al Rif;;;;;;;;;x
d_al_rif_adj;Al Rifian;;Al Rifer;;;;;;;;;;;x
d_alentejo;Alentejo;Alentejo;Alentejo;;Alentejo;;;;;;;;;x
d_alentejo_adj;Alentejian;;alentejer;;;;;;;;;;;x
d_aleppo;Aleppo;Aleppo;Aleppo;;Aleppo;;;;;;;;;x
d_aleppo_adj;Aleppian;;alepper;;;;;;;;;;;x
d_alfoeld;Alföld;Alföld;Alföld;;Alföld;;;;;;;;;x
d_alfoeld_adj;Alföldian;;alfölder;;;;;;;;;;;x
d_algarve;Algarve;Algarve;Algarve;;Algarve;;;;;;;;;x
d_algarve_adj;Algarvean;;algarver;;;;;;;;;;;x
d_almaty;Almaty;Almaty;Almaty;;Almaty;;;;;;;;;x
d_almaty_adj;Almatian;;almater;;;;;;;;;;;x
d_alsace_lorraine;Alsace-Lorraine;Alsace-Lorraine;Alsace-Lorraine;;Alsace-Lorraine;;;;;;;;;x
d_alsace_lorraine_adj;Alsace-Lorrainean;;alsace-lorrainer;;;;;;;;;;;x
d_amhara;Amhara;Amhara;Amhara;;Amhara;;;;;;;;;x
d_amhara_adj;Amharan;;amharer;;;;;;;;;;;x
d_amsberg;Amsberg;Amsberg;Amsberg;;Amsberg;;;;;;;;;x
d_amsberg_adj;Amsbergian;;amsberger;;;;;;;;;;;x
d_anatolikes_makedonias;Anatolikes Makedonías;Anatolikes Makedonías;Anatolikes Makedonías;;Anatolikes Makedonías;;;;;;;;;x
d_anatolikes_makedonias_adj;Anatolikes Makedoníasian;;Anatolikes Makedoníaser;;;;;;;;;;;x
d_andalucia_occidental;Andalucía Occidental;Andalucía Occidental;Andalucía Occidental;;Andalucía Occidental;;;;;;;;;x
d_andalucia_occidental_adj;Andalucía Occidentalian;;Andalucía Occidentaler;;;;;;;;;;;x
d_andalucia_oriental;Andalucía Oriental;Andalucía Oriental;Andalucía Oriental;;Andalucía Oriental;;;;;;;;;x
d_andalucia_oriental_adj;Andalucía Orientalian;;Andalucía Orientaler;;;;;;;;;;;x
d_andaman_islands;Andaman Islands;Andaman Islands;Andaman Islands;;Andaman Islands;;;;;;;;;x
d_andaman_islands_adj;Andaman Islandsian;;Andaman Islandser;;;;;;;;;;;x
d_anhalt;Anhalt;Anhalt;Anhalt;;Anhalt;;;;;;;;;x
d_anhalt_adj;Anhaltian;;anhalter;;;;;;;;;;;x
d_ankara;Ankara;Ankara;Ankara;;Ankara;;;;;;;;;x
d_ankara_adj;Ankaran;;ankarer;;;;;;;;;;;x
d_aosta;Aosta;Aosta;Aosta;;Aosta;;;;;;;;;x
d_aosta_adj;Aostan;;aoster;;;;;;;;;;;x
d_apulia;Apulia;Apulia;Apulia;;Apulia;;;;;;;;;x
d_apulia_adj;Apulian;;apuler;;;;;;;;;;;x
d_aquitaine;Aquitaine;Aquitaine;Aquitaine;;Aquitaine;;;;;;;;;x
d_aquitaine_adj;Aquitainean;;aquitainer;;;;;;;;;;;x
d_aragon;Aragón;Aragón;Aragón;;Aragón;;;;;;;;;x
d_aragon_adj;Aragónian;;aragóner;;;;;;;;;;;x
d_ardabil_gilan;Ardabil-Gilan;Ardabil-Gilan;Ardabil-Gilan;;Ardabil-Gilan;;;;;;;;;x
d_ardabil_gilan_adj;Ardabil-Gilanian;;ardabil-gilaner;;;;;;;;;;;x
d_arkhangelsk;Arkhangelsk;Arkhangelsk;Arkhangelsk;;Arkhangelsk;;;;;;;;;x
d_arkhangelsk_adj;Arkhangelskian;;arkhangelsker;;;;;;;;;;;x
d_armenia;Armenia;Armenia;Armenia;;Armenia;;;;;;;;;x
d_armenia_adj;Armenian;;armener;;;;;;;;;;;x
d_assam;Assam;Assam;Assam;;Assam;;;;;;;;;x
d_assam_adj;Assamian;;assamer;;;;;;;;;;;x
d_astana;Astana;Astana;Astana;;Astana;;;;;;;;;x
d_astana_adj;Astanan;;astaner;;;;;;;;;;;x
d_astrakhan;Astrakhan;Astrakhan;Astrakhan;;Astrakhan;;;;;;;;;x
d_astrakhan_adj;Astrakhanian;;astrakhaner;;;;;;;;;;;x
d_asturias;Asturias;Asturias;Asturias;;Asturias;;;;;;;;;x
d_asturias_adj;Asturiasian;;asturiaser;;;;;;;;;;;x
d_attike;Attike;Attike;Attike;;Attike;;;;;;;;;x
d_attike_adj;Attikean;;attiker;;;;;;;;;;;x
d_auvergne;Auvergne;Auvergne;Auvergne;;Auvergne;;;;;;;;;x
d_auvergne_adj;Auvergnean;;auvergner;;;;;;;;;;;x
d_awadh;Awadh;Awadh;Awadh;;Awadh;;;;;;;;;x
d_awadh_adj;Awadhian;;awadher;;;;;;;;;;;x
d_aydin;Aydin;Aydin;Aydin;;Aydin;;;;;;;;;x
d_aydin_adj;Aydinian;;aydiner;;;;;;;;;;;x
d_azerbaijan;Azerbaijan;Azerbaijan;Azerbaijan;;Azerbaijan;;;;;;;;;x
d_azerbaijan_adj;Azerbaijanian;;azerbaijaner;;;;;;;;;;;x
d_baden;Baden;Baden;Baden;;Baden;;;;;;;;;x
d_baden_adj;Badenian;;badener;;;;;;;;;;;x
d_bagdad;Bagdad;Bagdad;Bagdad;;Bagdad;;;;;;;;;x
d_bagdad_adj;Bagdadian;;bagdader;;;;;;;;;;;x
d_bahrain;Bahrain;Bahrain;Bahrain;;Bahrain;;;;;;;;;x
d_bahrain_adj;Bahrainian;;bahrainer;;;;;;;;;;;x
d_banat;Banat;Banat;Banat;;Banat;;;;;;;;;x
d_banat_adj;Banatian;;banater;;;;;;;;;;;x
d_bangladesh;Bangladesh;Bangladesh;Bangladesh;;Bangladesh;;;;;;;;;x
d_bangladesh_adj;Bangladeshian;;bangladesher;;;;;;;;;;;x
d_basarabia;Basarabia;Basarabia;Basarabia;;Basarabia;;;;;;;;;x
d_basarabia_adj;Basarabian;;basaraber;;;;;;;;;;;x
d_basilicata;Basilicata;Basilicata;Basilicata;;Basilicata;;;;;;;;;x
d_basilicata_adj;Basilicatan;;basilicater;;;;;;;;;;;x
d_bayern;Bayern;Bayern;Bayern;;Bayern;;;;;;;;;x
d_bayern_adj;Bayernian;;bayerner;;;;;;;;;;;x
d_beira;Beira;Beira;Beira;;Beira;;;;;;;;;x
d_beira_adj;Beiran;;beirer;;;;;;;;;;;x
d_benin;Benin;Benin;Benin;;Benin;;;;;;;;;x
d_benin_adj;Beninian;;beniner;;;;;;;;;;;x
d_bhutan;Bhutan;Bhutan;Bhutan;;Bhutan;;;;;;;;;x
d_bhutan_adj;Bhutanian;;bhutaner;;;;;;;;;;;x
d_bihar;Bihar;Bihar;Bihar;;Bihar;;;;;;;;;x
d_bihar_adj;Biharian;;biharer;;;;;;;;;;;x
d_bohemia;Bohemia;Bohemia;Bohemia;;Bohemia;;;;;;;;;x
d_bohemia_adj;Bohemian;;bohemer;;;;;;;;;;;x
d_bombay;Bombay;Bombay;Bombay;;Bombay;;;;;;;;;x
d_bombay_adj;Bombaian;;bombaer;;;;;;;;;;;x
d_bornu;Bornu;Bornu;Bornu;;Bornu;;;;;;;;;x
d_bornu_adj;Bornian;;borner;;;;;;;;;;;x
d_bosna;Bosna;Bosna;Bosna;;Bosna;;;;;;;;;x
d_bosna_adj;Bosnan;;bosner;;;;;;;;;;;x
d_bourgogne;Bourgogne;Bourgogne;Bourgogne;;Bourgogne;;;;;;;;;x
d_bourgogne_adj;Bourgognean;;bourgogner;;;;;;;;;;;x
d_braganca;Bragança;Bragança;Bragança;;Bragança;;;;;;;;;x
d_braganca_adj;Bragançan;;bragançer;;;;;;;;;;;x
d_brandenburg;Brandenburg;Brandenburg;Brandenburg;;Brandenburg;;;;;;;;;x
d_brandenburg_adj;Brandenburgian;;brandenburger;;;;;;;;;;;x
d_bratislava;Bratislava;Bratislava;Bratislava;;Bratislava;;;;;;;;;x
d_bratislava_adj;Bratislavan;;bratislaver;;;;;;;;;;;x
d_brest;Brêst;Brêst;Brêst;;Brêst;;;;;;;;;x
d_brest_adj;Brêstian;;brêster;;;;;;;;;;;x
d_brittany;Brittany;Brittany;Brittany;;Brittany;;;;;;;;;x
d_brittany_adj;Brittanian;;brittaner;;;;;;;;;;;x
d_bryansk;Bryansk;Bryansk;Bryansk;;Bryansk;;;;;;;;;x
d_bryansk_adj;Bryanskian;;bryansker;;;;;;;;;;;x
d_budapest;Budapest;Budapest;Budapest;;Budapest;;;;;;;;;x
d_budapest_adj;Budapestian;;budapester;;;;;;;;;;;x
d_bukovina;Bukovina;Bukovina;Bukovina;;Bukovina;;;;;;;;;x
d_bukovina_adj;Bukovinan;;bukoviner;;;;;;;;;;;x
