communist;Communist;Communist;Communist;;Communist;;;;;;;;;x
communist_desc;This character follows the teachings of Marx and Lenin, believing that the only good society is a classless one.;;This character follows the teachings of Marx and Lenin, believing that the only good society is a classless one.;;;;;;;;;;;x
socialist;Socialist;Socialist;Socialist;;Socialist;;;;;;;;;x
socialist_desc;This character believes that the wealth of the capitalist system should be redistributed by the government to those who would benefit from it the most.;;This character believes that the wealth of the capitalist system should be redistributed by the government to those who would benefit from it the most.;;;;;;;;;;;x
socialdemocrat;Social Democrat;Social Democrat;Social Democrat;;Social Democrat;;;;;;;;;x
socialdemocrat_desc;This character believes in reforms that further the idea of welfare state, and believes that the government is best used to benefit those who are less fortunate.;;This character believes in reforms that further the idea of welfare state, and believes that the government is best used to benefit those who are less fortunate.;;;;;;;;;;;x
centrist;Centrist;Centrist;Centrist;;Centrist;;;;;;;;;x
centrist_desc;This character finds himself at the centre of the political spectrum, choosing to follow some tenants of the left and some from the right.;;This character finds himself at the centre of the political spectrum, choosing to follow some tenants of the left and some from the right.;;;;;;;;;;;x
conservative;Conservative;Conservative;Conservative;;Conservative;;;;;;;;;x
conservative_desc;This character believes in traditional social and economic roles, as well as the ideas of free trade and globalization.;;This character believes in traditional social and economic roles, as well as the ideas of free trade and globalization.;;;;;;;;;;;x
neoliberal;Neo-Liberal;Neo-Liberal;Neo-Liberal;;Neo-Liberal;;;;;;;;;x
neoliberal_desc;This character believes in traditional conservatism, which follows the ideas of small government and deregulation of business  restrictions.;;This character believes in traditional conservatism, which follows the ideas of small government and deregulation of business  restrictions.;;;;;;;;;;;x
facist;Fascist;Fascist;Fascist;;Fascist;;;;;;;;;x
facist_desc;This character calls for the state to intervene in what is perceived as cultural corruption - cracking down on immigrants, unions, political enemies, and anyone else perceived as unfit.;;This character calls for the state to intervene in what is perceived as cultural corruption - cracking down on immigrants, unions, political enemies, and anyone else perceived as unfit.;;;;;;;;;;;x
green;Green;Green;Green;;Green;;;;;;;;;x
green_desc;This character believes that the governments primary concern should be the protection of the environment and the encouragement of clean energy rather than fossil fuels.;;This character believes that the governments primary concern should be the protection of the environment and the encouragement of clean energy rather than fossil fuels.;;;;;;;;;;;x
globalist;Globalist;Globalist;Globalist;;Globalist;;;;;;;;;x
globalist_desc;This character believes that Globalization and the Internet are merely the first steps on the path to the foundation of a global community and a single global government.;;This character believes that Globalization and the Internet are merely the first steps on the path to the foundation of a global community and a single global government.;;;;;;;;;;;x
EVTDESCOryxevents.01;While the age of liberalism has passed, its affects cannot be ignored. Political parties are a necessity in modern government, so it is only natural that I align with one.;While the age of liberalism has passed, its affects cannot be ignored. Political parties are a necessity in modern government, so it is only natural that I align with one.;While the age of liberalism has passed, its affects cannot be ignored. Political parties are a necessity in modern government, so it is only natural that I align with one.;;While the age of liberalism has passed, its affects cannot be ignored. Political parties are a necessity in modern government, so it is only natural that I align with one.;;;;;;;;;x
EVTOPTAOryxevents.01;I am a...;I am a...;I am a...;;I am a...;;;;;;;;;x
fundamentalist;Fundamentalist;Fundamentalist;Fundamentalist;;Fundamentalist;;;;;;;;;x
fundamentalist_desc;This character believes that religion is the single most important thing in the world, so important, that they will defend that belief with blood.;;This character believes that religion is the single most important thing in the world, so important, that they will defend that belief with blood.;;;;;;;;;;;x
pious;Pious;Pious;Pious;;Pious;;;;;;;;;x
pious_desc;This character follows his religious beliefs with a zealous devotion, yet will not try to force their beliefs onto unwilling others.;;This character follows his religious beliefs with a zealous devotion, yet will not try to force their beliefs onto unwilling others.;;;;;;;;;;;x
traditional;Traditional;Traditional;Traditional;;Traditional;;;;;;;;;x
traditional_desc;This character prefers to not take a side on the religious debate, flowing the religious teachings of his forefathers, but finds himself questioning the truths taught religion.;;This character prefers to not take a side on the religious debate, flowing the religious teachings of his forefathers, but finds himself questioning the truths taught religion.;;;;;;;;;;;x
agnostic;Agnostic;Agnostic;Agnostic;;Agnostic;;;;;;;;;x
agnostic_desc;This character attends major religious events and enjoys religious events with friends, however believes in none of the theological teachings.;;This character attends major religious events and enjoys religious events with friends, however believes in none of the theological teachings.;;;;;;;;;;;x
atheist;Atheist;Atheist;Atheist;;Atheist;;;;;;;;;x
atheist_desc;This character thinks of religion as a elegant lie, a false representation of the natural world when placed against the teachings of Darwin and Einstein.;;This character thinks of religion as a elegant lie, a false representation of the natural world when placed against the teachings of Darwin and Einstein.;;;;;;;;;;;x
EVTDESCOryxevents.02;Even though the golden age of faith and religion is long gone, the debate between religious values and scientific teachings rages on. Even though most politicians distance their practice from their faith, religious beliefs still wriggle their way into politics, particularly in the middle east.;Even though the golden age of faith and religion is long gone, the debate between religious values and scientific teachings rages on. Even though most politicians distance their practice from their faith, religious beliefs still wriggle their way into politics, particularly in the middle east.;Even though the golden age of faith and religion is long gone, the debate between religious values and scientific teachings rages on. Even though most politicians distance their practice from their faith, religious beliefs still wriggle their way into politics, particularly in the middle east.;;Even though the golden age of faith and religion is long gone, the debate between religious values and scientific teachings rages on. Even though most politicians distance their practice from their faith, religious beliefs still wriggle their way into politics, particularly in the middle east.;;;;;;;;;x
EVTOPTAOryxevents.02;I believe in...;I believe in...;I believe in...;;I believe in...;;;;;;;;;x
EVTDESCOryxevents.03;I have recently been reading the works of Marx and Engels, and many of their ideas are lingering in my head.;I have recently been reading the works of Marx and Engels, and many of their ideas are lingering in my head.;I have recently been reading the works of Marx and Engels, and many of their ideas are lingering in my head.;;I have recently been reading the works of Marx and Engels, and many of their ideas are lingering in my head.;;;;;;;;;x
EVTOPTAOryxevents.03;Revolution is the way forward!;Revolution is the way forward!;Revolution is the way forward!;;Revolution is the way forward!;;;;;;;;;x
EVTOPTBOryxevents.03;Reform is better than Revolution;Reform is better than Revolution;Reform is better than Revolution;;Reform is better than Revolution;;;;;;;;;x
EVTDESCOryxevents.04;The debates all around me have changed my views on a variety of issues, making me doubt that I can remain at the center of the political spectrum.;The debates all around me have changed my views on a variety of issues, making me doubt that I can remain at the center of the political spectrum.;The debates all around me have changed my views on a variety of issues, making me doubt that I can remain at the center of the political spectrum.;;The debates all around me have changed my views on a variety of issues, making me doubt that I can remain at the center of the political spectrum.;;;;;;;;;x
EVTOPTAOryxevents.04;My views have shifted towards the left.;My views have shifted towards the left.;My views have shifted towards the left.;;My views have shifted towards the left.;;;;;;;;;x
EVTOPTBOryxevents.04;My views have shifted towards the right.;My views have shifted towards the right.;My views have shifted towards the right.;;My views have shifted towards the right.;;;;;;;;;x
EVTOPTCOryxevents.04;The Center holds!;The Center holds!;The Center holds!;;The Center holds!;;;;;;;;;x
EVTDESCOryxevents.05;My days as a revolutionary are long passed. Now as the years number I feel like the system does not need to be changed and instead on should accept what's here and now.;My days as a revolutionary are long passed. Now as the years number I feel like the system does not need to be changed and instead on should accept what's here and now.;My days as a revolutionary are long passed. Now as the years number I feel like the system does not need to be changed and instead on should accept what's here and now.;;My days as a revolutionary are long passed. Now as the years number I feel like the system does not need to be changed and instead on should accept what's here and now.;;;;;;;;;x
EVTOPTAOryxevents.05;The system cannot be changed.;The system cannot be changed.;The system cannot be changed.;;The system cannot be changed.;;;;;;;;;x
EVTOPTBOryxevents.05;Society has Flaws!;Society has Flaws!;Society has Flaws!;;Society has Flaws!;;;;;;;;;x
EVTDESCOryxevents.06;As I walked through the city today, there were a number of problems the glared noticeably at every corner. Litter piles up next to a trash bin. Trees are cut down simply because they grow too large. If only I could change this.;As I walked through the city today, there were a number of problems the glared noticeably at every corner. Litter piles up next to a trash bin. Trees are cut down simply because they grow too large. If only I could change this.;As I walked through the city today, there were a number of problems the glared noticeably at every corner. Litter piles up next to a trash bin. Trees are cut down simply because they grow too large. If only I could change this.;;As I walked through the city today, there were a number of problems the glared noticeably at every corner. Litter piles up next to a trash bin. Trees are cut down simply because they grow too large. If only I could change this.;;;;;;;;;x
EVTOPTAOryxevents.06;We must protect the environment;We must protect the environment;We must protect the environment;;We must protect the environment;;;;;;;;;x
